
Test Case ID,Module,Sub-Module,Test Title,Pre-Requisites,Test Steps,Expected Result,Priority,Status
TC-SUP-001,Suppliers,Add Supplier,Verify adding a new Supplier with valid data,User is logged in as Admin,1. Navigate to 'Suppliers' view.\n2. Click '+ Add New' button.\n3. Enter 'Business Name' (e.g. Tech Distributors).\n4. Enter 'Contact Person', 'Phone', 'Email'.\n5. Enter 'Opening Balance' (e.g. 0).\n6. Click 'Save Item'.,1. Modal closes.\n2. Success message/alert appears.\n3. New supplier appears in the main list.\n4. Data matches input.,High,
TC-SUP-002,Suppliers,Add Supplier,Verify validation when adding Supplier without Business Name,,1. Navigate to 'Suppliers' view.\n2. Click '+ Add New'.\n3. Leave 'Business Name' empty.\n4. Click 'Save Item'.,System should not save (or UI should indicate field is required/Business Name remains empty in list if no strict validation implemented).,Medium,
TC-SUP-003,Suppliers,View Supplier,Verify 'View Details' modal displays correct info,At least one supplier exists,1. Navigate to 'Suppliers' view.\n2. Locate a supplier in the list.\n3. Click the 'Eye' (View) icon.,1. Modal opens titled 'Supplier Details'.\n2. Business Name, Balance, and Contact info match the list.\n3. 'Recent Purchases' table is visible.,High,
TC-SUP-004,Suppliers,View Supplier,Verify Purchase History in Supplier View,Supplier has associated Purchase records,1. Navigate to 'Suppliers' view.\n2. Click 'Eye' icon on a supplier with history.\n3. Scroll to 'Recent Purchases' section.,1. List of past POs/Invoices is displayed.\n2. Invoice IDs and Statuses match the Purchase module.,Medium,
TC-SUP-005,Suppliers,Archive/Delete,Verify deleting (archiving) a Supplier,Supplier exists,1. Navigate to 'Suppliers' view.\n2. Click the 'Trash' (Delete) icon on a supplier row.\n3. Confirm the browser confirmation prompt.,1. Supplier is removed from the list immediately.\n2. (Backend check) Supplier status set to Archived or record removed.,High,
TC-SUP-006,Suppliers,Edit Supplier,Verify editing Supplier contact details,Supplier exists,1. Navigate to 'Suppliers'.\n2. Click 'Edit' (Pencil) icon.\n3. Change 'Phone' number.\n4. Click 'Save Item'.,1. Modal closes.\n2. The list updates immediately with the new phone number.,Medium,
,,,,,,,,
TC-PUR-001,Purchases,Create Order,Create a new Purchase Order (Quotation),User logged in,1. Navigate to 'Purchases'.\n2. Click 'Create Order / Invoice'.\n3. Select Radio Button 'Purchase Order (Quotation)'.\n4. Select a Supplier.\n5. Add Product 'Widget', Cost '10', Qty '100'.\n6. Click 'Create Order'.,1. User redirected to List View.\n2. New entry shows Status 'Ordered'.\n3. Progress bar shows 0%.,High,
TC-PUR-002,Purchases,Create Invoice,Create a Direct Invoice (Instant Stock),User logged in,1. Navigate to 'Purchases'.\n2. Click 'Create Order / Invoice'.\n3. Select Radio Button 'Direct Invoice'.\n4. Fill details and Add Item.\n5. Click 'Save Invoice'.,1. Entry shows Status 'Received'.\n2. Inventory count for product increases immediately.\n3. Ledger updates with Inventory Debit.,High,
TC-PUR-003,Purchases,Calculations,Verify Total Amount Calculation in creation form,,1. Go to Create Purchase.\n2. Add Item A (Cost 10, Qty 5).\n3. Add Item B (Cost 20, Qty 2).\n4. Check Summary Total.,Total should equal 90 (50 + 40).,High,
TC-PUR-004,Purchases,Receive Stock,Verify Full Stock Reception logic,Existing PO with Status 'Ordered',1. Click 'Manage' on a Pending PO.\n2. Click 'Receive Stock'.\n3. Modal opens. Enter Qty equal to Ordered Qty.\n4. Enter Batch/Expiry.\n5. Click 'Confirm Reception'.,1. PO Status changes to 'Completed'.\n2. Progress bar shows 100%.\n3. Product Stock increases in Inventory.\n4. Supplier Balance increases.,Critical,
TC-PUR-005,Purchases,Receive Stock,Verify Partial Stock Reception,Existing PO with Status 'Ordered',1. Click 'Manage' on PO (Qty 100).\n2. Click 'Receive Stock'.\n3. Enter Qty '50'.\n4. Click 'Confirm Reception'.,1. PO Status changes to 'Partial'.\n2. Progress bar shows 50%.\n3. Inventory increases by 50 only.,High,
TC-PUR-006,Purchases,Receive Stock,Verify Over-Receiving (Excess Stock),Existing PO,1. Click 'Manage' on PO (Qty 10).\n2. Click 'Receive Stock'.\n3. Enter Qty '12'.\n4. Click 'Confirm'.,1. Status becomes 'Completed'.\n2. Progress bar indicates Excess/Overfill.\n3. Inventory increases by 12.\n4. Supplier is credited for cost of 12 items.,Medium,
TC-PUR-007,Purchases,Return Stock,Verify Returning Purchased Items,Purchase exists with Received items,1. Click 'Manage' on a 'Received' or 'Completed' purchase.\n2. Click 'Return Items'.\n3. Enter Return Qty and Reason (e.g., Damaged).\n4. Click 'Confirm Return'.,1. Return History log appears in details.\n2. Inventory count decreases.\n3. Supplier Balance decreases (Refund).,High,
TC-PUR-008,Purchases,PDF,Verify PDF Generation for Purchase Order,Existing Purchase,1. Click 'Manage' on a purchase.\n2. Click 'Download PDF'.,PDF file should download with correct Supplier details, Line items, and Totals.,Low,
TC-PUR-009,Purchases,History,Verify Reception History Log,PO that has been received twice (partial),1. Open Detail view of partially received PO.\n2. Check 'Reception History' card.,Should show two distinct timeline entries with dates and specific quantities received per batch.,Medium,
